AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio
138.2KWH (+ 0.0 KWH) ,233KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:00:22 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:05:22 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:10:22 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:15:22 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.1KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:20:23 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.1KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:25:23 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.1KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:30:23 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.1KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:35:23 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.2KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:40:23 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.2KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:45:24 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.2KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:50:24 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.3KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,01:55:24 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.3KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:00:25 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.3KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:05:25 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.3KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:10:25 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.4KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:15:25 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.4KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:20:25 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.4KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:25:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.4KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:30:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.4KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:35:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.5KWH (+ 0.1 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:40:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.5KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:45:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.5KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:50:26 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.5KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,02:55:27 a.m,06,marzo,2020
138.2KWH (+ 0.0 KWH) ,233.5KWH (+ 0.0 KWH) ,138.2KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:00:27 a.m,06,marzo,2020
138.3KWH (+ 0.1 KWH) ,233.6KWH (+ 0.1 KWH) ,138.3KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,03:05:27 a.m,06,marzo,2020
138.3KWH (+ 0.0 KWH) ,233.6KWH (+ 0.0 KWH) ,138.3KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:10:27 a.m,06,marzo,2020
138.3KWH (+ 0.0 KWH) ,233.6KWH (+ 0.0 KWH) ,138.3KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:15:27 a.m,06,marzo,2020
138.3KWH (+ 0.0 KWH) ,233.6KWH (+ 0.0 KWH) ,138.3KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:20:28 a.m,06,marzo,2020
138.4KWH (+ 0.1 KWH) ,233.7KWH (+ 0.1 KWH) ,138.4KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,03:25:28 a.m,06,marzo,2020
138.4KWH (+ 0.0 KWH) ,233.7KWH (+ 0.0 KWH) ,138.4KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:30:28 a.m,06,marzo,2020
138.4KWH (+ 0.0 KWH) ,233.7KWH (+ 0.0 KWH) ,138.4KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:35:28 a.m,06,marzo,2020
138.4KWH (+ 0.0 KWH) ,233.7KWH (+ 0.0 KWH) ,138.4KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:40:29 a.m,06,marzo,2020
138.5KWH (+ 0.1 KWH) ,233.8KWH (+ 0.1 KWH) ,138.5KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,03:45:29 a.m,06,marzo,2020
138.5KWH (+ 0.0 KWH) ,233.8KWH (+ 0.0 KWH) ,138.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:52:43 a.m,06,marzo,2020
138.5KWH (+ 0.0 KWH) ,233.8KWH (+ 0.0 KWH) ,138.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,03:57:44 a.m,06,marzo,2020
138.5KWH (+ 0.0 KWH) ,233.8KWH (+ 0.0 KWH) ,138.5KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:02:45 a.m,06,marzo,2020
138.6KWH (+ 0.1 KWH) ,233.9KWH (+ 0.1 KWH) ,138.6KWH (+ 0.1 KWH) ,137.7KWH (+ 0.0 KWH) ,04:07:46 a.m,06,marzo,2020
138.6KWH (+ 0.0 KWH) ,233.9KWH (+ 0.0 KWH) ,138.6KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:12:47 a.m,06,marzo,2020
138.6KWH (+ 0.0 KWH) ,233.9KWH (+ 0.0 KWH) ,138.6KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:17:47 a.m,06,marzo,2020
138.6KWH (+ 0.0 KWH) ,233.9KWH (+ 0.0 KWH) ,138.6KWH (+ 0.0 KWH) ,137.7KWH (+ 0.0 KWH) ,04:22:48 a.m,06,marzo,2020
