AccumulatedDischargerPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvPower,Hora,Dia,Mes,Anio 
211.7KWH (+ 0.1 KWH) ,342.9KWH (+ 0.1 KWH) ,211.7KWH (+ 0.1 KWH) ,11.6KWH (+ 0.1 KWH) ,11:42:43 a.m,01,abril,2020
211.8KWH (+ 0.1 KWH) ,343KWH (+ 0.1 KWH) ,211.8KWH (+ 0.1 KWH) ,11.6KWH (+ 0.0 KWH) ,11:57:43 a.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.1KWH (+ 0.1 KWH) ,211.8KWH (+ 0.0 KWH) ,11.7KWH (+ 0.1 KWH) ,12:12:44 p.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.2KWH (+ 0.1 KWH) ,211.8KWH (+ 0.0 KWH) ,11.7KWH (+ 0.0 KWH) ,12:27:44 p.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.3KWH (+ 0.1 KWH) ,211.8KWH (+ 0.0 KWH) ,11.8KWH (+ 0.1 KWH) ,12:42:44 p.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.3KWH (+ 0.0 KWH) ,211.8KWH (+ 0.0 KWH) ,11.8KWH (+ 0.0 KWH) ,12:57:44 p.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.3KWH (+ 0.0 KWH) ,211.8KWH (+ 0.0 KWH) ,11.9KWH (+ 0.1 KWH) ,01:12:44 p.m,01,abril,2020
211.8KWH (+ 0.0 KWH) ,343.4KWH (+ 0.1 KWH) ,211.8KWH (+ 0.0 KWH) ,12KWH (+ 0.1 KWH) ,01:27:44 p.m,01,abril,2020
211.9KWH (+ 0.1 KWH) ,343.4KWH (+ 0.0 KWH) ,211.9KWH (+ 0.1 KWH) ,12KWH (+ 0.0 KWH) ,01:42:44 p.m,01,abril,2020
211.9KWH (+ 0.0 KWH) ,343.5KWH (+ 0.1 KWH) ,211.9KWH (+ 0.0 KWH) ,12.1KWH (+ 0.1 KWH) ,01:57:45 p.m,01,abril,2020
211.9KWH (+ 0.0 KWH) ,343.5KWH (+ 0.0 KWH) ,211.9KWH (+ 0.0 KWH) ,12.2KWH (+ 0.1 KWH) ,02:12:45 p.m,01,abril,2020
211.9KWH (+ 0.0 KWH) ,343.5KWH (+ 0.0 KWH) ,211.9KWH (+ 0.0 KWH) ,12.3KWH (+ 0.1 KWH) ,02:27:45 p.m,01,abril,2020
212KWH (+ 0.1 KWH) ,343.5KWH (+ 0.0 KWH) ,212KWH (+ 0.1 KWH) ,12.3KWH (+ 0.0 KWH) ,02:42:45 p.m,01,abril,2020
212KWH (+ 0.0 KWH) ,343.6KWH (+ 0.1 KWH) ,212KWH (+ 0.0 KWH) ,12.4KWH (+ 0.1 KWH) ,02:57:45 p.m,01,abril,2020
212KWH (+ 0.0 KWH) ,343.6KWH (+ 0.0 KWH) ,212KWH (+ 0.0 KWH) ,12.5KWH (+ 0.1 KWH) ,03:12:45 p.m,01,abril,2020
212.1KWH (+ 0.1 KWH) ,343.7KWH (+ 0.1 KWH) ,212.1KWH (+ 0.1 KWH) ,12.6KWH (+ 0.1 KWH) ,03:27:45 p.m,01,abril,2020
212.1KWH (+ 0.0 KWH) ,343.7KWH (+ 0.0 KWH) ,212.1KWH (+ 0.0 KWH) ,12.6KWH (+ 0.0 KWH) ,03:42:45 p.m,01,abril,2020
212.1KWH (+ 0.0 KWH) ,343.7KWH (+ 0.0 KWH) ,212.1KWH (+ 0.0 KWH) ,12.7KWH (+ 0.1 KWH) ,03:57:46 p.m,01,abril,2020
212.2KWH (+ 0.1 KWH) ,343.8KWH (+ 0.1 KWH) ,212.2KWH (+ 0.1 KWH) ,12.8KWH (+ 0.1 KWH) ,04:12:46 p.m,01,abril,2020
212.3KWH (+ 0.1 KWH) ,343.9KWH (+ 0.1 KWH) ,212.3KWH (+ 0.1 KWH) ,12.8KWH (+ 0.0 KWH) ,04:27:46 p.m,01,abril,2020
212.4KWH (+ 0.1 KWH) ,344KWH (+ 0.1 KWH) ,212.4KWH (+ 0.1 KWH) ,12.8KWH (+ 0.0 KWH) ,04:42:46 p.m,01,abril,2020
212.5KWH (+ 0.1 KWH) ,344.1KWH (+ 0.1 KWH) ,212.5KWH (+ 0.1 KWH) ,12.9KWH (+ 0.1 KWH) ,04:57:46 p.m,01,abril,2020
212.6KWH (+ 0.1 KWH) ,344.2KWH (+ 0.1 KWH) ,212.6KWH (+ 0.1 KWH) ,12.9KWH (+ 0.0 KWH) ,05:12:46 p.m,01,abril,2020
212.6KWH (+ 0.0 KWH) ,344.2KWH (+ 0.0 KWH) ,212.6KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,05:27:47 p.m,01,abril,2020
212.7KWH (+ 0.1 KWH) ,344.3KWH (+ 0.1 KWH) ,212.7KWH (+ 0.1 KWH) ,12.9KWH (+ 0.0 KWH) ,05:42:47 p.m,01,abril,2020
212.8KWH (+ 0.1 KWH) ,344.4KWH (+ 0.1 KWH) ,212.8KWH (+ 0.1 KWH) ,12.9KWH (+ 0.0 KWH) ,05:57:47 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.4KWH (+ 0.0 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,06:12:47 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.5KWH (+ 0.1 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,06:27:47 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.6KWH (+ 0.1 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,06:42:47 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.7KWH (+ 0.1 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,06:57:47 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.8KWH (+ 0.1 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,07:12:48 p.m,01,abril,2020
212.8KWH (+ 0.0 KWH) ,344.8KWH (+ 0.0 KWH) ,212.8KWH (+ 0.0 KWH) ,12.9KWH (+ 0.0 KWH) ,01:17:51 a.m,02,abril,2020
213.3KWH (+ 0.5 KWH) ,345.6KWH (+ 0.8 KWH) ,213.3KWH (+ 0.5 KWH) ,12.9KWH (+ 0.0 KWH) ,08:48:18 a.m,02,abril,2020
213.9KWH (+ 0.6 KWH) ,346.6KWH (+ 1.0 KWH) ,213.9KWH (+ 0.6 KWH) ,13.2KWH (+ 0.3 KWH) ,09:03:20 a.m,02,abril,2020
213.9KWH (+ 0.0 KWH) ,346.7KWH (+ 0.1 KWH) ,213.9KWH (+ 0.0 KWH) ,13.3KWH (+ 0.1 KWH) ,09:18:20 a.m,02,abril,2020
214KWH (+ 0.1 KWH) ,346.7KWH (+ 0.0 KWH) ,214KWH (+ 0.1 KWH) ,13.5KWH (+ 0.2 KWH) ,09:33:21 a.m,02,abril,2020
214KWH (+ 0.0 KWH) ,346.8KWH (+ 0.1 KWH) ,214KWH (+ 0.0 KWH) ,13.6KWH (+ 0.1 KWH) ,09:48:21 a.m,02,abril,2020
214KWH (+ 0.0 KWH) ,346.8KWH (+ 0.0 KWH) ,214KWH (+ 0.0 KWH) ,13.7KWH (+ 0.1 KWH) ,10:03:21 a.m,02,abril,2020
214.1KWH (+ 0.1 KWH) ,346.9KWH (+ 0.1 KWH) ,214.1KWH (+ 0.1 KWH) ,13.8KWH (+ 0.1 KWH) ,10:18:21 a.m,02,abril,2020
214.2KWH (+ 0.1 KWH) ,347KWH (+ 0.1 KWH) ,214.2KWH (+ 0.1 KWH) ,13.9KWH (+ 0.1 KWH) ,10:33:21 a.m,02,abril,2020
214.2KWH (+ 0.0 KWH) ,347KWH (+ 0.0 KWH) ,214.2KWH (+ 0.0 KWH) ,14KWH (+ 0.1 KWH) ,10:48:21 a.m,02,abril,2020
214.3KWH (+ 0.1 KWH) ,347.1KWH (+ 0.1 KWH) ,214.3KWH (+ 0.1 KWH) ,14.1KWH (+ 0.1 KWH) ,11:03:21 a.m,02,abril,2020
214.4KWH (+ 0.1 KWH) ,347.1KWH (+ 0.0 KWH) ,214.4KWH (+ 0.1 KWH) ,14.2KWH (+ 0.1 KWH) ,11:18:22 a.m,02,abril,2020
214.4KWH (+ 0.0 KWH) ,347.2KWH (+ 0.1 KWH) ,214.4KWH (+ 0.0 KWH) ,14.3KWH (+ 0.1 KWH) ,11:33:22 a.m,02,abril,2020
214.5KWH (+ 0.1 KWH) ,347.3KWH (+ 0.1 KWH) ,214.5KWH (+ 0.1 KWH) ,14.4KWH (+ 0.1 KWH) ,11:48:22 a.m,02,abril,2020
214.6KWH (+ 0.1 KWH) ,347.4KWH (+ 0.1 KWH) ,214.6KWH (+ 0.1 KWH) ,14.5KWH (+ 0.1 KWH) ,12:03:22 p.m,02,abril,2020
214.6KWH (+ 0.0 KWH) ,347.4KWH (+ 0.0 KWH) ,214.6KWH (+ 0.0 KWH) ,14.6KWH (+ 0.1 KWH) ,12:18:22 p.m,02,abril,2020
214.7KWH (+ 0.1 KWH) ,347.5KWH (+ 0.1 KWH) ,214.7KWH (+ 0.1 KWH) ,14.7KWH (+ 0.1 KWH) ,12:33:22 p.m,02,abril,2020
214.8KWH (+ 0.1 KWH) ,347.5KWH (+ 0.0 KWH) ,214.8KWH (+ 0.1 KWH) ,14.7KWH (+ 0.0 KWH) ,12:48:23 p.m,02,abril,2020
214.8KWH (+ 0.0 KWH) ,347.5KWH (+ 0.0 KWH) ,214.8KWH (+ 0.0 KWH) ,14.8KWH (+ 0.1 KWH) ,01:03:23 p.m,02,abril,2020
214.8KWH (+ 0.0 KWH) ,347.6KWH (+ 0.1 KWH) ,214.8KWH (+ 0.0 KWH) ,14.9KWH (+ 0.1 KWH) ,01:18:23 p.m,02,abril,2020
214.9KWH (+ 0.1 KWH) ,347.7KWH (+ 0.1 KWH) ,214.9KWH (+ 0.1 KWH) ,14.9KWH (+ 0.0 KWH) ,01:33:23 p.m,02,abril,2020
214.9KWH (+ 0.0 KWH) ,347.7KWH (+ 0.0 KWH) ,214.9KWH (+ 0.0 KWH) ,15KWH (+ 0.1 KWH) ,01:48:23 p.m,02,abril,2020
214.9KWH (+ 0.0 KWH) ,347.7KWH (+ 0.0 KWH) ,214.9KWH (+ 0.0 KWH) ,15KWH (+ 0.0 KWH) ,02:03:24 p.m,02,abril,2020
215KWH (+ 0.1 KWH) ,347.7KWH (+ 0.0 KWH) ,215KWH (+ 0.1 KWH) ,15KWH (+ 0.0 KWH) ,02:18:24 p.m,02,abril,2020
215KWH (+ 0.0 KWH) ,347.7KWH (+ 0.0 KWH) ,215KWH (+ 0.0 KWH) ,15.1KWH (+ 0.1 KWH) ,02:33:24 p.m,02,abril,2020
215KWH (+ 0.0 KWH) ,347.8KWH (+ 0.1 KWH) ,215KWH (+ 0.0 KWH) ,15.1KWH (+ 0.0 KWH) ,02:48:24 p.m,02,abril,2020
215.1KWH (+ 0.1 KWH) ,347.8KWH (+ 0.0 KWH) ,215.1KWH (+ 0.1 KWH) ,15.2KWH (+ 0.1 KWH) ,03:03:25 p.m,02,abril,2020
215.1KWH (+ 0.0 KWH) ,347.9KWH (+ 0.1 KWH) ,215.1KWH (+ 0.0 KWH) ,15.3KWH (+ 0.1 KWH) ,03:18:25 p.m,02,abril,2020
215.1KWH (+ 0.0 KWH) ,347.9KWH (+ 0.0 KWH) ,215.1KWH (+ 0.0 KWH) ,15.3KWH (+ 0.0 KWH) ,03:33:25 p.m,02,abril,2020
215.1KWH (+ 0.0 KWH) ,347.9KWH (+ 0.0 KWH) ,215.1KWH (+ 0.0 KWH) ,15.3KWH (+ 0.0 KWH) ,03:48:25 p.m,02,abril,2020
215.2KWH (+ 0.1 KWH) ,348KWH (+ 0.1 KWH) ,215.2KWH (+ 0.1 KWH) ,15.4KWH (+ 0.1 KWH) ,04:03:25 p.m,02,abril,2020
215.3KWH (+ 0.1 KWH) ,348KWH (+ 0.0 KWH) ,215.3KWH (+ 0.1 KWH) ,15.5KWH (+ 0.1 KWH) ,04:18:26 p.m,02,abril,2020
215.3KWH (+ 0.0 KWH) ,348.1KWH (+ 0.1 KWH) ,215.3KWH (+ 0.0 KWH) ,15.6KWH (+ 0.1 KWH) ,04:33:26 p.m,02,abril,2020
215.4KWH (+ 0.1 KWH) ,348.2KWH (+ 0.1 KWH) ,215.4KWH (+ 0.1 KWH) ,15.6KWH (+ 0.0 KWH) ,04:48:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.3KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,05:03:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.4KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,05:18:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.4KWH (+ 0.0 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,05:33:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.5KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,05:48:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.6KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,06:03:26 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.7KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,06:18:27 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.8KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,06:33:27 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.9KWH (+ 0.1 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,06:48:27 p.m,02,abril,2020
215.4KWH (+ 0.0 KWH) ,348.9KWH (+ 0.0 KWH) ,215.4KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,07:03:27 p.m,02,abril,2020
215.5KWH (+ 0.1 KWH) ,349KWH (+ 0.1 KWH) ,215.5KWH (+ 0.1 KWH) ,15.6KWH (+ 0.0 KWH) ,07:18:27 p.m,02,abril,2020
215.5KWH (+ 0.0 KWH) ,349.1KWH (+ 0.1 KWH) ,215.5KWH (+ 0.0 KWH) ,15.6KWH (+ 0.0 KWH) ,01:26:51 a.m,03,abril,2020
216.2KWH (+ 0.7 KWH) ,349.9KWH (+ 0.8 KWH) ,216.2KWH (+ 0.7 KWH) ,15.6KWH (+ 0.0 KWH) ,09:04:39 a.m,03,abril,2020
216.7KWH (+ 0.5 KWH) ,350.9KWH (+ 1.0 KWH) ,216.7KWH (+ 0.5 KWH) ,16KWH (+ 0.4 KWH) ,09:19:43 a.m,03,abril,2020
216.7KWH (+ 0.0 KWH) ,351KWH (+ 0.1 KWH) ,216.7KWH (+ 0.0 KWH) ,16.2KWH (+ 0.2 KWH) ,09:34:43 a.m,03,abril,2020
216.8KWH (+ 0.1 KWH) ,351KWH (+ 0.0 KWH) ,216.8KWH (+ 0.1 KWH) ,16.3KWH (+ 0.1 KWH) ,09:49:43 a.m,03,abril,2020
216.8KWH (+ 0.0 KWH) ,351KWH (+ 0.0 KWH) ,216.8KWH (+ 0.0 KWH) ,16.3KWH (+ 0.0 KWH) ,10:04:43 a.m,03,abril,2020
216.9KWH (+ 0.1 KWH) ,351.1KWH (+ 0.1 KWH) ,216.9KWH (+ 0.1 KWH) ,16.5KWH (+ 0.2 KWH) ,10:19:43 a.m,03,abril,2020
217KWH (+ 0.1 KWH) ,351.2KWH (+ 0.1 KWH) ,217KWH (+ 0.1 KWH) ,16.6KWH (+ 0.1 KWH) ,10:34:44 a.m,03,abril,2020
217KWH (+ 0.0 KWH) ,351.2KWH (+ 0.0 KWH) ,217KWH (+ 0.0 KWH) ,16.6KWH (+ 0.0 KWH) ,10:49:44 a.m,03,abril,2020
217KWH (+ 0.0 KWH) ,351.3KWH (+ 0.1 KWH) ,217KWH (+ 0.0 KWH) ,16.7KWH (+ 0.1 KWH) ,11:04:44 a.m,03,abril,2020
217.1KWH (+ 0.1 KWH) ,351.3KWH (+ 0.0 KWH) ,217.1KWH (+ 0.1 KWH) ,16.8KWH (+ 0.1 KWH) ,11:19:44 a.m,03,abril,2020
217.1KWH (+ 0.0 KWH) ,351.3KWH (+ 0.0 KWH) ,217.1KWH (+ 0.0 KWH) ,16.9KWH (+ 0.1 KWH) ,11:34:44 a.m,03,abril,2020
217.2KWH (+ 0.1 KWH) ,351.4KWH (+ 0.1 KWH) ,217.2KWH (+ 0.1 KWH) ,16.9KWH (+ 0.0 KWH) ,11:49:45 a.m,03,abril,2020
217.3KWH (+ 0.1 KWH) ,351.5KWH (+ 0.1 KWH) ,217.3KWH (+ 0.1 KWH) ,17KWH (+ 0.1 KWH) ,12:04:45 p.m,03,abril,2020
217.3KWH (+ 0.0 KWH) ,351.5KWH (+ 0.0 KWH) ,217.3KWH (+ 0.0 KWH) ,17.1KWH (+ 0.1 KWH) ,12:19:45 p.m,03,abril,2020
217.4KWH (+ 0.1 KWH) ,351.6KWH (+ 0.1 KWH) ,217.4KWH (+ 0.1 KWH) ,17.2KWH (+ 0.1 KWH) ,12:34:45 p.m,03,abril,2020
217.4KWH (+ 0.0 KWH) ,351.6KWH (+ 0.0 KWH) ,217.4KWH (+ 0.0 KWH) ,17.3KWH (+ 0.1 KWH) ,12:49:46 p.m,03,abril,2020
217.4KWH (+ 0.0 KWH) ,351.7KWH (+ 0.1 KWH) ,217.4KWH (+ 0.0 KWH) ,17.3KWH (+ 0.0 KWH) ,01:04:46 p.m,03,abril,2020
217.5KWH (+ 0.1 KWH) ,351.7KWH (+ 0.0 KWH) ,217.5KWH (+ 0.1 KWH) ,17.3KWH (+ 0.0 KWH) ,01:19:46 p.m,03,abril,2020
217.5KWH (+ 0.0 KWH) ,351.7KWH (+ 0.0 KWH) ,217.5KWH (+ 0.0 KWH) ,17.4KWH (+ 0.1 KWH) ,01:34:46 p.m,03,abril,2020
217.6KWH (+ 0.1 KWH) ,351.8KWH (+ 0.1 KWH) ,217.6KWH (+ 0.1 KWH) ,17.5KWH (+ 0.1 KWH) ,01:49:46 p.m,03,abril,2020
217.6KWH (+ 0.0 KWH) ,351.8KWH (+ 0.0 KWH) ,217.6KWH (+ 0.0 KWH) ,17.5KWH (+ 0.0 KWH) ,02:04:46 p.m,03,abril,2020
217.6KWH (+ 0.0 KWH) ,351.8KWH (+ 0.0 KWH) ,217.6KWH (+ 0.0 KWH) ,17.6KWH (+ 0.1 KWH) ,02:19:47 p.m,03,abril,2020
217.6KWH (+ 0.0 KWH) ,351.9KWH (+ 0.1 KWH) ,217.6KWH (+ 0.0 KWH) ,17.6KWH (+ 0.0 KWH) ,02:34:47 p.m,03,abril,2020
217.7KWH (+ 0.1 KWH) ,351.9KWH (+ 0.0 KWH) ,217.7KWH (+ 0.1 KWH) ,17.6KWH (+ 0.0 KWH) ,02:49:47 p.m,03,abril,2020
217.7KWH (+ 0.0 KWH) ,351.9KWH (+ 0.0 KWH) ,217.7KWH (+ 0.0 KWH) ,17.7KWH (+ 0.1 KWH) ,03:04:47 p.m,03,abril,2020
217.7KWH (+ 0.0 KWH) ,352KWH (+ 0.1 KWH) ,217.7KWH (+ 0.0 KWH) ,17.7KWH (+ 0.0 KWH) ,03:19:47 p.m,03,abril,2020
217.8KWH (+ 0.1 KWH) ,352KWH (+ 0.0 KWH) ,217.8KWH (+ 0.1 KWH) ,17.8KWH (+ 0.1 KWH) ,03:34:47 p.m,03,abril,2020
217.8KWH (+ 0.0 KWH) ,352KWH (+ 0.0 KWH) ,217.8KWH (+ 0.0 KWH) ,17.8KWH (+ 0.0 KWH) ,03:49:48 p.m,03,abril,2020
217.8KWH (+ 0.0 KWH) ,352KWH (+ 0.0 KWH) ,217.8KWH (+ 0.0 KWH) ,17.9KWH (+ 0.1 KWH) ,04:04:48 p.m,03,abril,2020
217.9KWH (+ 0.1 KWH) ,352.2KWH (+ 0.2 KWH) ,217.9KWH (+ 0.1 KWH) ,18KWH (+ 0.1 KWH) ,04:19:48 p.m,03,abril,2020
217.9KWH (+ 0.0 KWH) ,352.2KWH (+ 0.0 KWH) ,217.9KWH (+ 0.0 KWH) ,18KWH (+ 0.0 KWH) ,04:34:48 p.m,03,abril,2020
218KWH (+ 0.1 KWH) ,352.3KWH (+ 0.1 KWH) ,218KWH (+ 0.1 KWH) ,18.1KWH (+ 0.1 KWH) ,04:49:49 p.m,03,abril,2020
218.1KWH (+ 0.1 KWH) ,352.4KWH (+ 0.1 KWH) ,218.1KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,05:04:49 p.m,03,abril,2020
218.2KWH (+ 0.1 KWH) ,352.5KWH (+ 0.1 KWH) ,218.2KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,05:19:49 p.m,03,abril,2020
218.2KWH (+ 0.0 KWH) ,352.5KWH (+ 0.0 KWH) ,218.2KWH (+ 0.0 KWH) ,18.1KWH (+ 0.0 KWH) ,05:34:49 p.m,03,abril,2020
218.3KWH (+ 0.1 KWH) ,352.6KWH (+ 0.1 KWH) ,218.3KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,05:49:50 p.m,03,abril,2020
218.3KWH (+ 0.0 KWH) ,352.6KWH (+ 0.0 KWH) ,218.3KWH (+ 0.0 KWH) ,18.1KWH (+ 0.0 KWH) ,06:04:50 p.m,03,abril,2020
218.4KWH (+ 0.1 KWH) ,352.7KWH (+ 0.1 KWH) ,218.4KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,06:19:50 p.m,03,abril,2020
218.5KWH (+ 0.1 KWH) ,352.8KWH (+ 0.1 KWH) ,218.5KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,06:34:50 p.m,03,abril,2020
218.6KWH (+ 0.1 KWH) ,352.9KWH (+ 0.1 KWH) ,218.6KWH (+ 0.1 KWH) ,18.1KWH (+ 0.0 KWH) ,06:49:50 p.m,03,abril,2020
218.6KWH (+ 0.0 KWH) ,353KWH (+ 0.1 KWH) ,218.6KWH (+ 0.0 KWH) ,18.1KWH (+ 0.0 KWH) ,07:04:50 p.m,03,abril,2020
218.6KWH (+ 0.0 KWH) ,353KWH (+ 0.0 KWH) ,218.6KWH (+ 0.0 KWH) ,18.1KWH (+ 0.0 KWH) ,07:19:51 p.m,03,abril,2020
218.6KWH (+ 0.0 KWH) ,353KWH (+ 0.0 KWH) ,218.6KWH (+ 0.0 KWH) ,18.1KWH (+ 0.0 KWH) ,01:30:39 a.m,04,abril,2020
219.1KWH (+ 0.5 KWH) ,353.8KWH (+ 0.8 KWH) ,219.1KWH (+ 0.5 KWH) ,18.1KWH (+ 0.0 KWH) ,09:03:18 a.m,04,abril,2020
219.6KWH (+ 0.5 KWH) ,354.7KWH (+ 0.9 KWH) ,219.6KWH (+ 0.5 KWH) ,18.5KWH (+ 0.4 KWH) ,09:18:21 a.m,04,abril,2020
219.7KWH (+ 0.1 KWH) ,354.8KWH (+ 0.1 KWH) ,219.7KWH (+ 0.1 KWH) ,18.6KWH (+ 0.1 KWH) ,09:33:21 a.m,04,abril,2020
219.7KWH (+ 0.0 KWH) ,354.9KWH (+ 0.1 KWH) ,219.7KWH (+ 0.0 KWH) ,18.7KWH (+ 0.1 KWH) ,09:48:21 a.m,04,abril,2020
219.8KWH (+ 0.1 KWH) ,355KWH (+ 0.1 KWH) ,219.8KWH (+ 0.1 KWH) ,18.9KWH (+ 0.2 KWH) ,10:03:21 a.m,04,abril,2020
219.8KWH (+ 0.0 KWH) ,355KWH (+ 0.0 KWH) ,219.8KWH (+ 0.0 KWH) ,19KWH (+ 0.1 KWH) ,10:18:21 a.m,04,abril,2020
219.9KWH (+ 0.1 KWH) ,355.1KWH (+ 0.1 KWH) ,219.9KWH (+ 0.1 KWH) ,19.1KWH (+ 0.1 KWH) ,10:33:21 a.m,04,abril,2020
220KWH (+ 0.1 KWH) ,355.1KWH (+ 0.0 KWH) ,220KWH (+ 0.1 KWH) ,19.2KWH (+ 0.1 KWH) ,10:48:21 a.m,04,abril,2020
220KWH (+ 0.0 KWH) ,355.2KWH (+ 0.1 KWH) ,220KWH (+ 0.0 KWH) ,19.3KWH (+ 0.1 KWH) ,11:03:22 a.m,04,abril,2020
220.1KWH (+ 0.1 KWH) ,355.3KWH (+ 0.1 KWH) ,220.1KWH (+ 0.1 KWH) ,19.4KWH (+ 0.1 KWH) ,11:18:22 a.m,04,abril,2020
220.2KWH (+ 0.1 KWH) ,355.3KWH (+ 0.0 KWH) ,220.2KWH (+ 0.1 KWH) ,19.5KWH (+ 0.1 KWH) ,11:33:22 a.m,04,abril,2020
220.2KWH (+ 0.0 KWH) ,355.4KWH (+ 0.1 KWH) ,220.2KWH (+ 0.0 KWH) ,19.6KWH (+ 0.1 KWH) ,11:48:22 a.m,04,abril,2020
220.3KWH (+ 0.1 KWH) ,355.4KWH (+ 0.0 KWH) ,220.3KWH (+ 0.1 KWH) ,19.7KWH (+ 0.1 KWH) ,12:03:22 p.m,04,abril,2020
220.3KWH (+ 0.0 KWH) ,355.5KWH (+ 0.1 KWH) ,220.3KWH (+ 0.0 KWH) ,19.8KWH (+ 0.1 KWH) ,12:18:22 p.m,04,abril,2020
220.4KWH (+ 0.1 KWH) ,355.6KWH (+ 0.1 KWH) ,220.4KWH (+ 0.1 KWH) ,19.9KWH (+ 0.1 KWH) ,12:33:22 p.m,04,abril,2020
220.5KWH (+ 0.1 KWH) ,355.6KWH (+ 0.0 KWH) ,220.5KWH (+ 0.1 KWH) ,20KWH (+ 0.1 KWH) ,12:48:23 p.m,04,abril,2020
220.6KWH (+ 0.1 KWH) ,355.7KWH (+ 0.1 KWH) ,220.6KWH (+ 0.1 KWH) ,20.1KWH (+ 0.1 KWH) ,01:03:23 p.m,04,abril,2020
220.6KWH (+ 0.0 KWH) ,355.7KWH (+ 0.0 KWH) ,220.6KWH (+ 0.0 KWH) ,20.1KWH (+ 0.0 KWH) ,01:18:23 p.m,04,abril,2020
220.6KWH (+ 0.0 KWH) ,355.8KWH (+ 0.1 KWH) ,220.6KWH (+ 0.0 KWH) ,20.2KWH (+ 0.1 KWH) ,01:33:23 p.m,04,abril,2020
220.6KWH (+ 0.0 KWH) ,355.8KWH (+ 0.0 KWH) ,220.6KWH (+ 0.0 KWH) ,20.2KWH (+ 0.0 KWH) ,07:36:22 p.m,04,abril,2020
221.2KWH (+ 0.6 KWH) ,356.4KWH (+ 0.6 KWH) ,221.2KWH (+ 0.6 KWH) ,20.7KWH (+ 0.5 KWH) ,08:59:21 a.m,06,abril,2020
224.3KWH (+ 3.1 KWH) ,360.9KWH (+ 4.5 KWH) ,224.3KWH (+ 3.1 KWH) ,23.1KWH (+ 2.4 KWH) ,09:14:38 a.m,06,abril,2020
224.3KWH (+ 0.0 KWH) ,361KWH (+ 0.1 KWH) ,224.3KWH (+ 0.0 KWH) ,23.2KWH (+ 0.1 KWH) ,09:29:38 a.m,06,abril,2020
224.4KWH (+ 0.1 KWH) ,361.1KWH (+ 0.1 KWH) ,224.4KWH (+ 0.1 KWH) ,23.3KWH (+ 0.1 KWH) ,09:44:38 a.m,06,abril,2020
